# 枠ごとの質問データ。1 行 = 1 件。形式: 枠,質問,答えの例
# - 枠は when（いつ） / where（どこで） / who（だれが） / what（なにを） / how（どうした）のいずれか
# - 質問は「〜は？」の形で書く。ユーザーは答えの「〜」の部分だけを入力し、助詞（で・が・を）は画面側で自動で付く
# - 答えの例は入力欄に薄く表示される。助詞は付けずに書く（「図書館」であって「図書館で」ではない）
#   - when: 時期・時間で答えられる質問（例: 昨日の夜 / 高 2 の夏）
#   - where: 場所の名前で答えられる質問（例: 駅前のマック）
#   - who: 人の名前・呼び方で答えられる質問（例: 母）
#   - what: ものの名前で答えられる質問（例: コーヒー）
#   - how: 「〜した」で答えられる質問（例: 寝坊した）
# - # で始まる行と空行は無視される
# - ローカルに反映: docker compose exec app pnpm db:seed:themes  / main にマージすると本番にも自動で反映される
# - 同じ枠・同じ質問が既にあれば、答えの例だけ更新される（何度実行しても安全）
slot,text,example
when,昨日、一番印象に残っている時間帯は？,昨日の夜 11 時ごろ
when,高校時代で一番楽しかった時期は？,高 2 の文化祭の前
when,子どもの頃、一番ワクワクした日は？,遠足の前日
when,最近、一番早起きした日は？,先週の月曜
when,人生で一番忙しかった時期は？,受験の直前
when,今日の朝何時に起きた？,8時、11時
when,昨日の夜何時に寝た？,22時、25時
when,好きな時代は？,江戸時代、縄文時代
when,タイムマシンで未来に行くなら西暦何年？,2035年、4124年
when,一年で一番好きな月は？,4月、12月
where,家の外で、最近よく行く場所は？,駅前のマック
where,学校の中で一番落ち着く場所は？,図書館の奥の席
where,今まで行った旅行先で一番良かった場所は？,沖縄の海
where,子どもの頃の遊び場は？,近所の公園
where,一度は行ってみたい場所は？,北海道
who,自分にあだ名を付けるなら？,寝坊王
who,家族の中で一番よく話す人は？,母
who,最近一番会っている友達は？（呼び方で）,タク
who,尊敬している人は？,高校の担任
who,最近ハマっている有名人は？,大谷翔平
what,最近食べておいしかったものは？,学食のカレー
what,スマホで一番使っているアプリは？,YouTube
what,今、一番大事にしているものは？,高校の卒業アルバム
what,最近買って良かったものは？,ワイヤレスイヤホン
what,子どもの頃のお気に入りのおもちゃは？,ミニ四駆
how,最近やらかしたことは？,財布を家に忘れた
how,最近なくしたものは、その後どうなった？,結局見つからなかった
how,最近、大笑いしたのはどんなこと？,友達が階段で転んだ
how,昨日の夜、寝る前に何をした？,動画を見ていた
how,休みの日、だいたい何をしている？,昼まで寝ている
